product_id,title,brand,rating,review_text,review_date,sentiment_score,sentiment_label,themes,pros_cons
0,Safari,Safari,5,Spacious and scratch-resistant. Highly recommended for frequent travelers.,2026-03-07,0.2716,Positive,durability,PRO: durability
0,Safari,Safari,5,"Good quality trolley, wheels rotate 360 smoothly, and the lock works perfectly.",2025-09-02,0.7964,Positive,"wheels, lock","PRO: wheels, lock"
0,Safari,Safari,5,"Great Safari luggage, very durable and the wheels are extremely smooth.",2025-09-19,0.6249,Positive,"wheels, durability","PRO: wheels, durability"
0,Safari,Safari,5,Excellent capacity and lightweight. Best purchase from Safari.,2026-03-02,0.836,Positive,,
0,Safari,Safari,4,Value for money. The material took a beating on my last flight but still looks good.,2025-11-25,0.5499,Positive,"durability, design, value","PRO: durability, design, value"
0,Safari,Safari,5,Excellent capacity and lightweight. Best purchase from Safari.,2025-09-12,0.836,Positive,,
0,Safari,Safari,5,"Great Safari luggage, very durable and the wheels are extremely smooth.",2025-06-05,0.6249,Positive,"wheels, durability","PRO: wheels, durability"
0,Safari,Safari,5,"Good quality trolley, wheels rotate 360 smoothly, and the lock works perfectly.",2025-08-08,0.7964,Positive,"wheels, lock","PRO: wheels, lock"
0,Safari,Safari,4,I love the design! Zippers feel premium and the handle is sturdy.,2025-08-12,0.6696,Positive,"handle, durability, design","PRO: handle, durability, design"
0,Safari,Safari,5,I love the design! Zippers feel premium and the handle is sturdy.,2026-03-07,0.6696,Positive,"handle, durability, design","PRO: handle, durability, design"
0,Safari,Safari,5,I love the design! Zippers feel premium and the handle is sturdy.,2026-01-31,0.6696,Positive,"handle, durability, design","PRO: handle, durability, design"
0,Safari,Safari,5,"Great Safari luggage, very durable and the wheels are extremely smooth.",2026-03-04,0.6249,Positive,"wheels, durability","PRO: wheels, durability"
0,Safari,Safari,5,"Good quality trolley, wheels rotate 360 smoothly, and the lock works perfectly.",2026-01-19,0.7964,Positive,"wheels, lock","PRO: wheels, lock"
0,Safari,Safari,4,Spacious and scratch-resistant. Highly recommended for frequent travelers.,2025-12-06,0.2716,Positive,durability,PRO: durability
0,Safari,Safari,5,Excellent capacity and lightweight. Best purchase from Safari.,2025-09-22,0.836,Positive,,
0,Safari,Safari,5,Excellent capacity and lightweight. Best purchase from Safari.,2025-05-20,0.836,Positive,,
0,Safari,Safari,4,I love the design! Zippers feel premium and the handle is sturdy.,2026-01-06,0.6696,Positive,"handle, durability, design","PRO: handle, durability, design"
0,Safari,Safari,5,Excellent capacity and lightweight. Best purchase from Safari.,2025-06-01,0.836,Positive,,
0,Safari,Safari,5,Excellent capacity and lightweight. Best purchase from Safari.,2025-12-13,0.836,Positive,,
0,Safari,Safari,5,Value for money. The material took a beating on my last flight but still looks good.,2025-11-19,0.5499,Positive,"durability, design, value","PRO: durability, design, value"
